degrees,latitude,longitude,timestamp,processing_source
12.4,37.4386,-122.5281667,2024-12-23T17:20:00.000Z,embedded
12.42,37.43865,-122.5282833,2024-12-23T18:20:00.000Z,embedded
12.48,37.4387833,-122.5285333,2024-12-23T19:20:00.000Z,embedded
12.58,37.4391667,-122.5287167,2024-12-23T20:20:00.000Z,embedded
12.52,37.4395333,-122.52855,2024-12-23T21:20:00.000Z,embedded
12.5,37.4395333,-122.5285,2024-12-23T22:20:00.000Z,embedded
12.5,37.43955,-122.5284833,2024-12-23T23:20:00.000Z,embedded
12.52,37.4396,-122.5282833,2024-12-24T00:20:00.000Z,embedded
12.5,37.4395833,-122.5282833,2024-12-24T01:20:00.000Z,embedded
12.48,37.4395667,-122.5283333,2024-12-24T02:20:00.000Z,embedded
12.48,37.4395667,-122.5283,2024-12-24T03:20:00.000Z,embedded
12.48,37.4395833,-122.5281333,2024-12-24T04:20:00.000Z,embedded
12.52,37.4395667,-122.5281167,2024-12-24T05:20:00.000Z,embedded
12.52,37.4395667,-122.5283833,2024-12-24T06:20:00.000Z,embedded
12.52,37.4395667,-122.5282667,2024-12-24T07:20:00.000Z,embedded
12.52,37.43955,-122.5284833,2024-12-24T08:20:00.000Z,embedded
12.52,37.4395333,-122.5286,2024-12-24T09:20:00.000Z,embedded
12.52,37.4394833,-122.52865,2024-12-24T10:20:00.000Z,embedded
12.5,37.43935,-122.5287833,2024-12-24T11:20:00.000Z,embedded
12.5,37.4392833,-122.5287833,2024-12-24T12:20:00.000Z,embedded
12.5,37.4391,-122.5288833,2024-12-24T13:20:00.000Z,embedded
12.5,37.43905,-122.52895,2024-12-24T14:20:00.000Z,embedded
12.48,37.4389833,-122.5289167,2024-12-24T15:20:00.000Z,embedded
12.5,37.4389667,-122.5289167,2024-12-24T16:20:00.000Z,embedded
12.48,37.4392667,-122.5288,2024-12-24T17:20:00.000Z,embedded
12.5,37.4395,-122.52855,2024-12-24T18:20:00.000Z,embedded
12.54,37.4395,-122.5284833,2024-12-24T19:20:00.000Z,embedded
12.54,37.4395,-122.52815,2024-12-24T20:20:00.000Z,embedded
12.6,37.4393167,-122.5278333,2024-12-24T21:20:00.000Z,embedded
12.68,37.4389333,-122.5276833,2024-12-24T22:20:00.000Z,embedded
12.64,37.4391167,-122.5279667,2024-12-24T23:20:00.000Z,embedded
12.6,37.4393667,-122.5282167,2024-12-25T00:20:00.000Z,embedded
12.58,37.43935,-122.5282833,2024-12-25T01:20:00.000Z,embedded
12.54,37.4393,-122.5281,2024-12-25T02:20:00.000Z,embedded
12.52,37.4392833,-122.5279167,2024-12-25T03:20:00.000Z,embedded
12.52,37.4388333,-122.5277833,2024-12-25T04:20:00.000Z,embedded
12.52,37.4387,-122.5278333,2024-12-25T05:20:00.000Z,embedded
12.5,37.4386333,-122.5279833,2024-12-25T06:20:00.000Z,embedded
12.46,37.4386,-122.5281167,2024-12-25T07:20:00.000Z,embedded
12.44,37.4386833,-122.5282667,2024-12-25T08:20:00.000Z,embedded
12.42,37.4387,-122.52815,2024-12-25T09:20:00.000Z,embedded
12.42,37.4387333,-122.5281,2024-12-25T10:20:00.000Z,embedded
12.4,37.4387,-122.5282833,2024-12-25T11:20:00.000Z,embedded
12.4,37.4388167,-122.5283667,2024-12-25T12:20:00.000Z,embedded
12.38,37.4388,-122.5284,2024-12-25T13:20:00.000Z,embedded
12.38,37.4388667,-122.5284167,2024-12-25T14:20:00.000Z,embedded
12.36,37.4387667,-122.5284333,2024-12-25T15:20:00.000Z,embedded
12.34,37.4388333,-122.5284167,2024-12-25T16:20:00.000Z,embedded
12.34,37.4387667,-122.52815,2024-12-25T17:20:00.000Z,embedded
12.34,37.4388333,-122.52795,2024-12-25T18:20:00.000Z,embedded
12.4,37.4388167,-122.5278667,2024-12-25T19:20:00.000Z,embedded
12.42,37.43895,-122.5277667,2024-12-25T20:20:00.000Z,embedded
12.52,37.4390667,-122.5276667,2024-12-25T21:20:00.000Z,embedded
12.52,37.4391167,-122.5276333,2024-12-25T22:20:00.000Z,embedded
12.48,37.4392167,-122.5276667,2024-12-25T23:20:00.000Z,embedded
12.46,37.4392833,-122.5277833,2024-12-26T00:20:00.000Z,embedded
12.44,37.43935,-122.5278667,2024-12-26T01:20:00.000Z,embedded
12.42,37.4393667,-122.52815,2024-12-26T02:20:00.000Z,embedded
12.4,37.4393167,-122.52855,2024-12-26T03:20:00.000Z,embedded
12.4,37.43935,-122.5286833,2024-12-26T04:20:00.000Z,embedded
12.4,37.4393167,-122.52875,2024-12-26T05:20:00.000Z,embedded
12.4,37.4393,-122.5286833,2024-12-26T06:20:00.000Z,embedded
12.38,37.4394167,-122.5285833,2024-12-26T07:20:00.000Z,embedded
12.38,37.4395167,-122.5283167,2024-12-26T08:20:00.000Z,embedded
12.38,37.4394667,-122.5279833,2024-12-26T09:20:00.000Z,embedded
12.38,37.4394833,-122.52795,2024-12-26T10:20:00.000Z,embedded
12.38,37.4394667,-122.5279,2024-12-26T11:20:00.000Z,embedded
12.36,37.4395,-122.5279667,2024-12-26T12:20:00.000Z,embedded
12.36,37.4395167,-122.52795,2024-12-26T13:20:00.000Z,embedded
12.34,37.4394667,-122.5278667,2024-12-26T14:20:00.000Z,embedded
12.32,37.4394667,-122.5278833,2024-12-26T15:20:00.000Z,embedded
12.32,37.4393833,-122.52785,2024-12-26T16:20:00.000Z,embedded
12.32,37.43925,-122.52775,2024-12-26T17:20:00.000Z,embedded
12.34,37.4389167,-122.5277333,2024-12-26T18:20:00.000Z,embedded
12.36,37.4388167,-122.5277833,2024-12-26T19:20:00.000Z,embedded
12.38,37.4387833,-122.5278167,2024-12-26T20:20:00.000Z,embedded
12.4,37.4391,-122.5278167,2024-12-26T21:20:00.000Z,embedded
12.38,37.4390833,-122.5278,2024-12-26T22:20:00.000Z,embedded
12.38,37.4394333,-122.5281,2024-12-26T23:20:00.000Z,embedded
12.38,37.4394833,-122.5283167,2024-12-27T00:20:00.000Z,embedded
12.36,37.4395167,-122.52845,2024-12-27T01:20:00.000Z,embedded
12.36,37.4395333,-122.5284667,2024-12-27T02:20:00.000Z,embedded
12.36,37.43955,-122.5284833,2024-12-27T03:20:00.000Z,embedded
12.36,37.4395667,-122.5284833,2024-12-27T04:20:00.000Z,embedded
12.36,37.4395667,-122.5284167,2024-12-27T05:20:00.000Z,embedded
12.36,37.4395667,-122.5284333,2024-12-27T06:20:00.000Z,embedded
12.36,37.4395667,-122.52835,2024-12-27T07:20:00.000Z,embedded
12.36,37.4395833,-122.5282167,2024-12-27T08:20:00.000Z,embedded
12.36,37.4396,-122.5281,2024-12-27T09:20:00.000Z,embedded
12.36,37.4395167,-122.52795,2024-12-27T10:20:00.000Z,embedded
12.36,37.4393333,-122.5277,2024-12-27T11:20:00.000Z,embedded
12.36,37.4392333,-122.52765,2024-12-27T12:20:00.000Z,embedded
12.36,37.4391,-122.5276333,2024-12-27T13:20:00.000Z,embedded
12.36,37.4389167,-122.5277167,2024-12-27T14:20:00.000Z,embedded
12.34,37.4387667,-122.5280333,2024-12-27T15:20:00.000Z,embedded
12.34,37.4387,-122.5282333,2024-12-27T16:20:00.000Z,embedded
12.36,37.43865,-122.5284167,2024-12-27T17:20:00.000Z,embedded
12.42,37.4386667,-122.52855,2024-12-27T18:20:00.000Z,embedded
12.56,37.4387,-122.5285833,2024-12-27T19:20:00.000Z,embedded
12.74,37.4387833,-122.52865,2024-12-27T20:20:00.000Z,embedded
12.84,37.43885,-122.52865,2024-12-27T21:20:00.000Z,embedded
12.9,37.4391833,-122.5286667,2024-12-27T22:20:00.000Z,embedded
12.96,37.43945,-122.5284667,2024-12-27T23:20:00.000Z,embedded
12.86,37.4395333,-122.52845,2024-12-28T00:20:00.000Z,embedded
12.76,37.4395333,-122.5285,2024-12-28T01:20:00.000Z,embedded
12.72,37.43955,-122.5285167,2024-12-28T02:20:00.000Z,embedded
12.76,37.4395667,-122.5284333,2024-12-28T03:20:00.000Z,embedded
12.72,37.4395833,-122.5284167,2024-12-28T04:20:00.000Z,embedded
12.7,37.43955,-122.5284333,2024-12-28T05:20:00.000Z,embedded
12.64,37.43955,-122.52835,2024-12-28T06:20:00.000Z,embedded
12.62,37.4395333,-122.5282667,2024-12-28T07:20:00.000Z,embedded
12.6,37.4394333,-122.52815,2024-12-28T08:20:00.000Z,embedded
12.62,37.4393,-122.5279333,2024-12-28T09:20:00.000Z,embedded
12.66,37.43925,-122.5279667,2024-12-28T10:20:00.000Z,embedded
12.62,37.43935,-122.5280833,2024-12-28T11:20:00.000Z,embedded
12.58,37.4394333,-122.5280667,2024-12-28T12:20:00.000Z,embedded
12.54,37.4395167,-122.5282167,2024-12-28T13:20:00.000Z,embedded
12.52,37.4395167,-122.5283667,2024-12-28T14:20:00.000Z,embedded
12.5,37.4395333,-122.5283833,2024-12-28T15:20:00.000Z,embedded
12.48,37.4395333,-122.5283667,2024-12-28T16:20:00.000Z,embedded
